"","Year","LakeName","ProjectTitle","use_fish","make_estimates","n_samples"
"1",1960,"Crosswind Lake","Single Sample Evaluation - (June - 1960)",TRUE,TRUE,30
"2",1960,"Hidden Lake (Kenai)","Single Sample Evaluation - (June - 1960)",TRUE,FALSE,51
"3",1960,"Hidden Lake (Kenai)","Single Sample Evaluation - (September - 1960)",TRUE,FALSE,1
"4",1961,"Hidden Lake (Kenai)","Single Sample Evaluation - (September - 1960)",TRUE,FALSE,2
"5",1961,"Skilak Lake","Single Sample Evaluation - (July - 1961)",TRUE,FALSE,18
"6",1965,"16.8 Mile Lake","Single Sample Evaluation - (July - 1965)",TRUE,TRUE,14
"7",1965,"36 Mile Lake","Single Sample Evaluation - (August - 1965)",FALSE,TRUE,7
"8",1965,"Hidden Lake (Kenai)","Single Sample Evaluation - (May - 1965)",TRUE,FALSE,17
"9",1965,"Nabesna Twin 2 Lake","Single Sample Evaluation - (June - 1965)",FALSE,TRUE,1
"10",1965,"Sevenmile Lake","Single Sample Evaluation - (August - 1965)",TRUE,TRUE,14
"11",1966,"Crosswind Lake","Single Sample Evaluation - (February - 1966)",TRUE,TRUE,1
"12",1966,"Hidden Lake (Kenai)","Single Sample Evaluation - (May - 1966)",TRUE,FALSE,82
"13",1967,"Hidden Lake (Kenai)","Single Sample Evaluation - (June - 1967)",TRUE,FALSE,15
"14",1967,"Skilak Lake","Single Sample Evaluation - (May - 1967)",TRUE,FALSE,42
"15",1968,"Crosswind Lake","Single Sample Evaluation - (October - 1968)",TRUE,TRUE,2
"16",1968,"Juneau Lake (Cooper Landing)","Single Sample Evaluation - (July - 1968)",TRUE,FALSE,5
"17",1968,"Skilak Lake","Single Sample Evaluation - (September - 1968)",TRUE,FALSE,14
"18",1969,"Hidden Lake (Kenai)","Single Sample Evaluation - (June - 1969)",TRUE,FALSE,1
"19",1969,"Skilak Lake","Single Sample Evaluation - (October - 1969)",TRUE,FALSE,175
"20",1970,"Harding Lake","Single Sample Evaluation - (August - 1970)",TRUE,TRUE,6
"21",1970,"Juneau Lake (Cooper Landing)","Single Sample Evaluation - (August - 1970)",TRUE,FALSE,1
"22",1970,"Skilak Lake","Single Sample Evaluation - (September - 1970)",TRUE,FALSE,123
"23",1971,"Harding Lake","Single Sample Evaluation - (August - 1971)",TRUE,TRUE,1
"24",1974,"Glacier Gap Lake (Denali Hwy)","Single Sample Evaluation - (August - 1974)",TRUE,TRUE,21
"25",1974,"Two Bit Lake","Single Sample Evaluation - (July - 1974)",TRUE,TRUE,59
"26",1975,"Hidden Lake (Kenai)","Single Sample Evaluation - (July - 1975)",TRUE,FALSE,2
"27",1979,"Ellis Lake","Single Sample Evaluation - (July - 1979)",TRUE,FALSE,16
"28",1979,"Harding Lake","Single Sample Evaluation - (July - 1979)",TRUE,TRUE,2
"29",1979,"Lake Louise","Single Sample Evaluation - (December - 1979)",TRUE,TRUE,1
"30",1981,"Harding Lake","Single Sample Evaluation - (October - 1981)",TRUE,TRUE,2
"31",1981,"Juneau Lake (Cooper Landing)","Single Sample Evaluation - (January - 1981)",TRUE,FALSE,1
"32",1981,"Little Lake Louise","Single Sample Evaluation - (July - 1981)",FALSE,TRUE,1
"33",1982,"Ellis Lake","Single Sample Evaluation - (July - 1982)",TRUE,FALSE,51
"34",1982,"Harding Lake","Single Sample Evaluation - (August - 1982)",TRUE,TRUE,2
"35",1982,"Monte Lake","Single Sample Evaluation - (August - 1982)",TRUE,TRUE,9
"36",1983,"Harding Lake","Single Sample Evaluation - (July - 1983)",TRUE,TRUE,3
"37",1983,"Monte Lake","Single Sample Evaluation - (November - 1983)",TRUE,TRUE,13
"38",1984,"Butte Lake","Single Sample Evaluation - (June - 1984)",TRUE,FALSE,3
"39",1984,"Glacier Gap Lake (Denali Hwy)","Single Sample Evaluation - (August - 1984)",TRUE,TRUE,3
"40",1984,"Harding Lake","Single Sample Evaluation - (August - 1984)",TRUE,TRUE,11
"41",1984,"Landmark Gap Lake","Single Sample Evaluation - (August - 1984)",FALSE,TRUE,4
"42",1984,"Monte Lake","Single Sample Evaluation - (August - 1984)",TRUE,TRUE,5
"43",1984,"Wait-A-Bit Lake","Single Sample Evaluation - (August - 1984)",FALSE,TRUE,1
"44",1985,"Harding Lake","Single Sample Evaluation - (September - 1985)",TRUE,TRUE,2
"45",1986,"Glacier Gap Lake (Denali Hwy)","Single Sample Evaluation - (June - 1986)",TRUE,TRUE,486
"46",1986,"Harding Lake","Single Sample Evaluation - (July - 1986)",TRUE,TRUE,3
"47",1986,"Harding Lake","Single Sample Evaluation - (June - 1986)",TRUE,TRUE,10
"48",1986,"Paxson Lake","Single Sample Evaluation - (May - 1986)",TRUE,TRUE,128
"49",1986,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (June - 1986)",TRUE,TRUE,121
"50",1986,"Susitna Lake","Single Sample Evaluation - (August - 1986)",TRUE,TRUE,7
"51",1986,"Susitna Lake","Single Sample Evaluation - (June - 1986)",TRUE,TRUE,1
"52",1986,"Two Bit Lake","Single Sample Evaluation - (July - 1986)",TRUE,TRUE,77
"53",1987,"Harding Lake","Single Sample Evaluation - (June - 1987)",TRUE,TRUE,13
"54",1987,"Landlocked Tangle Lake","Single Sample Evaluation - (June - 1987)",TRUE,TRUE,623
"55",1987,"Paxson Lake","Single Sample Evaluation - (March - 1987)",TRUE,TRUE,493
"56",1987,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (June - 1987)",TRUE,TRUE,578
"57",1987,"Two Bit Lake","Single Sample Evaluation - (June - 1987)",TRUE,TRUE,518
"58",1987,"Upper Tangle Lake","Single Sample Evaluation - (August - 1987)",TRUE,TRUE,13
"59",1988,"Butte Lake","Single Sample Evaluation - (June - 1988)",TRUE,FALSE,521
"60",1988,"Crosswind Lake","Single Sample Evaluation - (July - 1988)",TRUE,TRUE,1
"61",1988,"Glacier Gap Lake (Denali Hwy)","Single Sample Evaluation - (July - 1988)",TRUE,TRUE,19
"62",1988,"Harding Lake","Single Sample Evaluation - (October - 1988)",TRUE,TRUE,5
"63",1988,"Jatahmund Lake","Single Sample Evaluation - (August - 1988)",TRUE,TRUE,56
"64",1988,"Juneau Lake (Cooper Landing)","Single Sample Evaluation - (January - 1988)",TRUE,FALSE,1
"65",1988,"Paxson Lake","Single Sample Evaluation - (April - 1988)",TRUE,TRUE,1106
"66",1988,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (June - 1988)",TRUE,TRUE,200
"67",1988,"Shallow Tangle Lake","Single Sample Evaluation - (June - 1988)",TRUE,TRUE,3
"68",1988,"Susitna Lake","Single Sample Evaluation - (June - 1988)",TRUE,TRUE,16
"69",1988,"Two Bit Lake","Single Sample Evaluation - (July - 1988)",TRUE,TRUE,172
"70",1988,"Upper Tangle Lake","Single Sample Evaluation - (June - 1988)",TRUE,TRUE,173
"71",1989,"Butte Lake","Single Sample Evaluation - (March - 1989)",TRUE,FALSE,447
"72",1989,"Glacier Gap Lake (Denali Hwy)","Single Sample Evaluation - (June - 1989)",TRUE,TRUE,476
"73",1989,"Landlocked Tangle Lake","Single Sample Evaluation - (July - 1989)",TRUE,TRUE,23
"74",1989,"Paxson Lake","Single Sample Evaluation - (April - 1989)",TRUE,TRUE,1162
"75",1989,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (June - 1989)",TRUE,TRUE,278
"76",1989,"Shallow Tangle Lake","Single Sample Evaluation - (July - 1989)",TRUE,TRUE,5
"77",1989,"Summit Lake (Richardson Highway near Paxson)","Single Sample Evaluation - (July - 1989)",TRUE,TRUE,2
"78",1989,"Upper Tangle Lake","Single Sample Evaluation - (July - 1989)",TRUE,TRUE,2
"79",1990,"Glacier Gap Lake (Denali Hwy)","Single Sample Evaluation - (August - 1990)",TRUE,TRUE,373
"80",1990,"Harding Lake","Single Sample Evaluation - (August - 1990)",TRUE,TRUE,1
"81",1990,"Juneau Lake (Cooper Landing)","Single Sample Evaluation - (June - 1990)",TRUE,FALSE,1
"82",1990,"Landlocked Tangle Lake","Single Sample Evaluation - (July - 1990)",TRUE,TRUE,67
"83",1990,"Paxson Lake","Single Sample Evaluation - (March - 1990)",TRUE,TRUE,942
"84",1990,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (June - 1990)",TRUE,TRUE,303
"85",1990,"Summit Lake (Richardson Highway near Paxson)","Single Sample Evaluation - (May - 1990)",TRUE,TRUE,1
"86",1990,"Upper Tangle Lake","Single Sample Evaluation - (July - 1990)",TRUE,TRUE,2
"87",1991,"Harding Lake","Single Sample Evaluation - (September - 1991)",TRUE,TRUE,11
"88",1991,"Lake Louise","Single Sample Evaluation - (September - 1991)",TRUE,TRUE,1102
"89",1991,"Landlocked Tangle Lake","Single Sample Evaluation - (July - 1991)",TRUE,TRUE,84
"90",1991,"Lower Tangle Lake","Single Sample Evaluation - (August - 1991)",TRUE,TRUE,18
"91",1991,"Paxson Lake","Single Sample Evaluation - (April - 1991)",TRUE,TRUE,2
"92",1991,"Paxson Lake","Single Sample Evaluation - (September - 1991)",TRUE,TRUE,1223
"93",1991,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (July - 1991)",TRUE,TRUE,396
"94",1991,"Summit Lake (Richardson Highway near Paxson)","Single Sample Evaluation - (July - 1991)",TRUE,TRUE,6
"95",1991,"Upper Tangle Lake","Single Sample Evaluation - (June - 1991)",TRUE,TRUE,12
"96",1992,"Harding Lake","Single Sample Evaluation - (August - 1992)",TRUE,TRUE,23
"97",1992,"Juneau Lake (Cooper Landing)","Single Sample Evaluation - (August - 1992)",TRUE,FALSE,3
"98",1992,"Lake Louise","Single Sample Evaluation - (September - 1992)",TRUE,TRUE,1183
"99",1992,"Landlocked Tangle Lake","Single Sample Evaluation - (April - 1992)",TRUE,TRUE,3
"100",1992,"Paxson Lake","Single Sample Evaluation - (September - 1992)",TRUE,TRUE,830
"101",1992,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (June - 1992)",TRUE,TRUE,2
"102",1993,"Lake Louise","Single Sample Evaluation - (September - 1993)",TRUE,TRUE,1465
"103",1993,"Paxson Lake","Single Sample Evaluation - (September - 1993)",TRUE,TRUE,913
"104",1993,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (August - 1993)",TRUE,TRUE,580
"105",1994,"Butte Lake","Single Sample Evaluation - (June - 1984)",TRUE,FALSE,1
"106",1994,"Galbraith Lake","Single Sample Evaluation - (June - 1994)",TRUE,FALSE,166
"107",1994,"Lake Louise","Single Sample Evaluation - (September - 1994)",TRUE,TRUE,1782
"108",1994,"Paxson Lake","Single Sample Evaluation - (September - 1994)",TRUE,TRUE,1487
"109",1995,"Lake Louise","Single Sample Evaluation - (September - 1995)",TRUE,TRUE,1203
"110",1995,"Paxson Lake","Single Sample Evaluation - (September - 1995)",TRUE,TRUE,1657
"111",1995,"Schrader Lake","Mark-Recapture Event 1 - (July - 1995)",TRUE,TRUE,757
"112",1995,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (February - 1995)",TRUE,TRUE,1
"113",1997,"Itkillik lake","Mark-Recapture Event 1 - (July - 1997)",TRUE,TRUE,324
"114",1997,"Itkillik lake","Mark-Recapture Event 2 - (August - 1997)",TRUE,TRUE,522
"115",1997,"Paxson Lake","Single Sample Evaluation - (July - 1997)",TRUE,TRUE,271
"116",1998,"Fielding Lake","Single Sample Evaluation - (September - 1998)",TRUE,TRUE,95
"117",1999,"Backdown Lake","Single Sample Evaluation - (September - 1999)",TRUE,FALSE,25
"118",1999,"Fielding Lake","Single Sample Evaluation - (September - 1999)",TRUE,TRUE,91
"119",2000,"Fielding Lake","Mark-Recapture Event 1 - (September - 2000)",TRUE,TRUE,104
"120",2001,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (November - 2001)",TRUE,TRUE,72
"121",2001,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (September - 2001)",TRUE,TRUE,191
"122",2002,"Paxson Lake","Mark-Recapture Event 1 - (September - 2002)",TRUE,TRUE,710
"123",2002,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (July - 2002)",TRUE,TRUE,586
"124",2002,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (November - 2001)",TRUE,TRUE,44
"125",2003,"No Mercy Lake","Single Sample Evaluation - (August - 2003)",TRUE,FALSE,23
"126",2003,"Paxson Lake","Mark-Recapture Event 1 - (September - 2003)",TRUE,TRUE,1195
"127",2003,"Paxson Lake","Mark-Recapture Event 2 - (May - 2003)",TRUE,TRUE,266
"128",2004,"Paxson Lake","Mark-Recapture Event 1 - (September - 2004)",TRUE,TRUE,806
"129",2004,"Paxson Lake","Mark-Recapture Event 2 - (June - 2004)",TRUE,TRUE,449
"130",2009,"Petrokov Lake","Single Sample Evaluation - (July - 2009)",TRUE,FALSE,14
"131",2010,"Fielding Lake","Mark-Recapture Event 1 - (September - 2010)",TRUE,TRUE,97
"132",2011,"Fielding Lake","Mark-Recapture Event 2 - (September - 2011)",TRUE,TRUE,417
"133",2012,"Itkillik lake","Single Sample Evaluation - (July - 2012)",TRUE,TRUE,3
"134",2017,"Chandler Lake","Mark-Recapture Event 1 - (July - 2017)",TRUE,TRUE,603
"135",2017,"Crosswind Lake","Single Sample Evaluation - (September - 2017)",TRUE,TRUE,1
"136",2017,"Little Chandler Lake","Mark-Recapture Event 1 - (July - 2017)",TRUE,TRUE,68
"137",2018,"Chandler Lake","Mark-Recapture Event 2 - (June - 2018)",TRUE,TRUE,700
"138",2018,"Chandler Lake","Single Sample Evaluation - (April - 2018)",TRUE,TRUE,29
"139",2018,"Little Chandler Lake","Mark-Recapture Event 2 - (June - 2018)",TRUE,TRUE,127
"140",2018,"Round Tangle Lake","Single Sample Evaluation - (September - 2018)",TRUE,TRUE,50
"141",2019,"Dickey Lake","Single Sample Evaluation - (April - 2019)",TRUE,FALSE,46
"142",2019,"Hanagita Lake","Single Sample Evaluation - (August - 2019)",TRUE,TRUE,51
"143",2019,"Lake Louise","Single Sample Evaluation - (June - 2019)",TRUE,TRUE,2
"144",2019,"Sevenmile Lake","Single Sample Evaluation - (July - 2019)",TRUE,TRUE,50
"145",2019,"Snodgrass Lake","Single Sample Evaluation - (June - 2019)",FALSE,TRUE,3
"146",2020,"Big Lake (Healy)","Single Sample Evaluation - (June - 2020)",TRUE,FALSE,65
"147",2020,"Harding Lake","Single Sample Evaluation - (July - 2020)",TRUE,TRUE,1
"148",2020,"Jatahmund Lake","Single Sample Evaluation - (February - 2020)",TRUE,TRUE,61
"149",2020,"Lake Louise","Single Sample Evaluation - (June - 2019)",TRUE,TRUE,2
"150",2020,"Paxson Lake","Single Sample Evaluation - (September - 2020)",TRUE,TRUE,7
"151",2020,"Summit Lake (Richardson Highway near Paxson)","Single Sample Evaluation - (July - 2020)",TRUE,TRUE,2
"152",2021,"Crosswind Lake","Single Sample Evaluation - (July - 2010)",TRUE,TRUE,1
"153",2021,"Fielding Lake","Mark-Recapture Event 1 - (June - 2021)",TRUE,TRUE,204
"154",2021,"Fielding Lake","Mark-Recapture Event 1 - (September - 2021)",TRUE,TRUE,115
"155",2021,"Fielding Lake","Single Sample Evaluation - (September - 2021)",TRUE,TRUE,3
"156",2021,"Sevenmile Lake (Denali Hwy)","Single Sample Evaluation - (September - 2021)",TRUE,TRUE,10
"157",2022,"Fielding Lake","Mark-Recapture Event 2 - (June - 2022)",TRUE,TRUE,332
"158",2022,"Lower Tangle Lake","Single Sample Evaluation - (April - 2022)",TRUE,TRUE,46
"159",2022,"Round Tangle Lake","Single Sample Evaluation - (June - 2022)",TRUE,TRUE,25
"160",2022,"Shallow Tangle Lake","Single Sample Evaluation - (June - 2022)",TRUE,TRUE,22
"161",2022,"Upper Tangle Lake","Single Sample Evaluation - (June - 2022)",TRUE,TRUE,13
"162",2023,"Lower Tangle Lake","Mark-Recapture Event 1 - (April - 2023)",TRUE,TRUE,118
"163",2023,"Lower Tangle Lake","Mark-Recapture Event 1 - (June - 2023)",TRUE,TRUE,137
"164",2023,"Round Tangle Lake","Mark-Recapture Event 1 - (June - 2023)",TRUE,TRUE,161
"165",2023,"Sevenmile Lake (Denali Hwy)","Mark-Recapture Event 1 - (September - 2023)",TRUE,TRUE,238
"166",2023,"Shallow Tangle Lake","Mark-Recapture Event 1 - (June - 2023)",TRUE,TRUE,84
"167",2023,"Upper Tangle Lake","Mark-Recapture Event 1 - (June - 2023)",TRUE,TRUE,50
"168",2024,"Crosswind Lake","Single Sample Evaluation - (June - 2024)",TRUE,TRUE,158
"169",2024,"Crosswind Lake","Single Sample Evaluation - (March - 2024)",TRUE,TRUE,111
"170",2024,"Galbraith Lake","Single Sample Evaluation - (August - 2024)",TRUE,FALSE,5
"171",2024,"Lower Tangle Lake","Mark-Recapture Event 2 - (April - 2024)",TRUE,TRUE,116
"172",2024,"Lower Tangle Lake","Mark-Recapture Event 2 - (June - 2024)",TRUE,TRUE,118
"173",2024,"Round Tangle Lake","Mark-Recapture Event 2 - (June - 2024)",TRUE,TRUE,202
"174",2024,"Sevenmile Lake (Denali Hwy)","Mark-Recapture Event 2 - (June - 2024)",TRUE,TRUE,137
"175",2024,"Shallow Tangle Lake","Mark-Recapture Event 2 - (June - 2024)",TRUE,TRUE,76
"176",2024,"Upper Tangle Lake","Mark-Recapture Event 2 - (June - 2024)",TRUE,TRUE,20
