Available Data and Morphometry,,,,,,,,,,,,,,,,,,,
Alaska Lake Database (ALDAT) data export 10/27/22 and 12/15/22 (https://www.adfg.alaska.gov/SF_Lakes/),,,,,,,,,,"*Date may correspond to the last time information was updated, and may not reflect when data were collected.",,**Blanks represent missing data in the lake database.,,,,,,,
SportFishRegion,ManagementArea,LakeName,Longitude_WGS84,Latitude_WGS84,SurfaceArea_h,Volume_m3,MeanDepth_m,MaximumDepth_m,ShorelineLength_km,*Most Recent Survey Date,SpeciesPreviouslyStocked,**NativeSpeciesPresent,BathymetricMap,Average of ForkLength_mm,Average of Weight_g,Count of ForkLength_mm,Count of Weight_g,Abundance,SWHS
Region III,Fairbanks (Lower Tanana River Drainage),Caribou Lake,-146.51657,62.21525,7.14,"129,516",1.81,7.6,1.29,4/9/2015,"Arctic grayling, coho salmon, rainbow trout","burbot, Arctic grayling, slimy sculpin",Yes,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Carlson Lake,-143.86153,62.76354,20.23,,,9.1,,7/12/1961,,"Dolly Varden, Arctic grayling",No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Donnelly Lake (Richardson Highway),-145.80576,63.75350,12.29,"448,135",3.65,12.0,2.72,7/6/2005,"Arctic char, lake trout, Arctic grayling, Chinook salmon, coho salmon, rainbow trout",slimy sculpin,Yes,207.2763158,,76,,,yes
Region III,North Slope Drainages,Ernie Lake,-146.20419,62.54318,5.22,,,4.9,,1/1/1988,,longnose sucker,No,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Farewell Lake,-153.63924,62.55509,254.95,,,49.4,,1/1/1955,,,No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Fourmile Lake (Taylor Highway),-142.57192,63.36110,49.90,"1,047,496",2.1,5.8,3.92,8/21/2007,"Arctic char, lake trout, coho salmon, rainbow trout, sheefish",,Yes,325.3,,10,,,yes
Region III,Delta (Upper Tanana River Drainage),Ghost Lake (Meadows Road),-145.83043,63.83526,1.96,"116,675",5.95,14.4,0.54,8/24/2005,"Arctic char, lake trout, rainbow trout, sheefish",slimy sculpin,Yes,368.4,,5,,,yes
Region III,Fairbanks (Lower Tanana River Drainage),Harding Lake,-146.88085,64.43474,887.18,"153,746,079",17.3,43.0,11.87,7/22/2013,"Arctic char, lake trout, Arctic grayling, coho salmon, sockeye salmon, steelhead, rainbow trout, sheefish","burbot, northern pike, slimy sculpin, least cisco",Yes,569.7717391,2840.522388,92,67,,
Region III,Delta (Upper Tanana River Drainage),"Island Lake (Richardson Highway, S of Donnelly Dome)",-145.82474,63.74074,,,,5.5,,4/1/1975,"Arctic grayling, sheefish",,No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),J Lake (Meadows Road),-145.83582,63.83345,6.80,,,15.1,1.57,8/16/2005,"Arctic char, Arctic grayling, coho salmon, rainbow trout","Arctic grayling, longnose sucker, rainbow trout, slimy sculpin",Yes,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Jatahmund Lake,-142.02902,62.62185,,,,23.8,,7/24/1979,rainbow trout,"lake trout, burbot, northern pike",No,487.9545455,593.75,110,8,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Kelly Lake,-146.99603,62.16106,36.42,,,0.0,,7/1/1973,,"Arctic grayling, whitefish-unspecified",No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Kenna Lake,-145.54792,63.70910,5.92,,,12.2,1.38,6/10/2010,"lake trout, rainbow trout",,Yes,370,,2,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Klutina Lake,-145.73370,61.74769,6377.85,,,0.0,,7/21/1976,,"Dolly Varden, burbot, sockeye salmon",Yes,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),16.8 Mile Lake,-145.88319,63.04338,26.3,,,17.7,,8/26/1962,,"lake trout, Arctic grayling",No,349.5714286,,14,,,
Region III,North Slope Drainages,1st Lake above Toolik Lake,-149.58197,68.60990,,,,,,8/19/1979,,"lake trout, burbot, Arctic grayling",No,,,,,,
Region III,Delta (Upper Tanana River Drainage),36 Mile Lake ,-146.41635,63.10364,44.52,,,9.1,,8/20/1971,,"lake trout, Arctic grayling, whitefish-unspecified",No,397.4285714,,7,,,
Region III,Yukon River Drainage,Ackerman Lake,-147.54757,67.53219,745.84,,,25.6,,8/18/1977,,"lake trout, Arctic grayling, humpback whitefish, round whitefish",Yes,,,,,,
Region III,Yukon River Drainage,Agiak Lake,-152.95399,68.07416,,,,13.7,,7/30/1984,,"Arctic char, lake trout, Arctic grayling",Yes,,,,,,
Region III,Yukon River Drainage,Alatna River,,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,Amiloyak Lake,-152.86748,68.10734,,,,,,7/30/1984,,"Arctic char, lake trout, Arctic grayling",Yes,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Amos Lakes,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Andi Lake,-144.36855,62.95808,28.33,,,,,8/28/1973,,lake trout,No,,,,,,
Region III,Kuskokwim-Goodnews Drainages,Aniak Lake,-159.18242,60.46815,,,,37.8,,7/10/1976,,"Arctic char, lake trout, Arctic grayling, slimy sculpin, round whitefish",No,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Aniak River,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Antelope Lake,-146.30072,62.71308,97.12,,,11.0,,8/26/1975,,"lake trout, longnose sucker, whitefish-unspecified",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),April Lake,-146.25306,62.51485,13.4,,,11.6,,1/1/1987,,"lake trout, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,Kuskokwim-Goodnews Drainages,Arolik Lake,-161.10149,59.46189,,,,56.4,,7/13/1975,,"Arctic char, lake trout, Arctic grayling, coho salmon, sockeye salmon, round whitefish",Yes,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Arolik River,,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Backdown Lake,-145.82391,63.71486,2.09,,,6.0,0.58,8/18/2005,"Arctic char, rainbow trout","lake trout, slimy sculpin",Yes,218.48,,25,,,
Region III,Yukon River Drainage,Beaver Lake (near Chisana),-141.81396,62.03813,135,,12.3,,,6/30/2016,,"Arctic grayling, burbot, humpback whitefish, slimy sculpin",Yes,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Beaver Lake (near Susitna L),-146.57480,62.40508,323.75,,,,,6/24/1964,,"lake trout, burbot, Arctic grayling, longnose sucker, whitefish-unspecified",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Bell Lake,-146.48667,62.45364,210.44,,,9.1,,7/7/1980,,"lake trout, Arctic grayling, longnose sucker, whitefish-unspecified",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Betty Lake,-146.29651,62.50474,16.03,,,9.8,,1/1/1988,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,Yukon River Drainage,Big Lake (Bob Johnson Lake),,,,,,,,,,,,,,,,,yes
Region II,Mat-Su (Susitna River Drainage),Big Lake (Healy),-148.20469,62.98789,437.06,,,24.4,,6/30/1977,,"lake trout, whitefish-unspecified",No,508,8693.333333,60,6,,
Region III,Yukon River Drainage,Birch Lake (U),-146.646181,64.315223,340,,,14.8,8.25,,"Arctic char, Arctic grayling, Chinook salmon, coho salmon, rainbow trout","burbot, lake chub, least cisco, longnose sucker, slimy sculpin, whitefish-unspecified",,,,,,,yes
Region II,Mat-Su (Susitna River Drainage),Black Lake (Talkeetna Mtns),-147.89086,62.40265,109.27,,,13.7,,6/30/1972,,"lake trout, Arctic grayling, whitefish-unspecified",No,,,,,,
Region III,Delta (Upper Tanana River Drainage),Bolio Lake,-145.84406,63.891121,36.93,,,7.6,3.50,3/15/2011,"Arctic char, lake trout, Arctic grayling, Chinook salmon, coho salmon, steelhead, rainbow trout",slimy sculpin,Yes,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Boulder Lake (SW of Sourdough),,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Braye Lakes,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Brian Lake,-146.13780,62.57418,3.68,,,9.8,,1/1/1988,,"lake trout, Arctic grayling, longnose sucker",No,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Broad Pass lakes (near Cantwell),,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Bullwinkle Lake,-145.823088,63.906999,2,,,9.2,0.55,8/23/2005,"Arctic char, lake trout, rainbow trout, sheefish",,Yes,357,,1,,,yes
Region II,Mat-Su (Susitna River Drainage),Butte Lake,-147.85246,63.19019,275.19,,,16.5,9.89,6/28/1984,,"lake trout, Arctic grayling, whitefish-unspecified",No,370.3126294,358.5576923,966,104,,
Region III,North Slope Drainages,C-116,-154.31826,69.95685,,,,19.2,,7/13/1983,,"lake trout, burbot, least cisco",Yes,,,,,,
Region III,North Slope Drainages,C-117,-154.26787,69.96765,,,,12.2,,7/13/1983,,"lake trout, burbot, broad whitefish, least cisco",Yes,,,,,,
Region III,North Slope Drainages,C-119,-152.88071,70.09865,12.95,,,6.1,,7/14/1983,,lake trout,Yes,,,,,,
Region III,North Slope Drainages,C-120,-153.15347,70.01196,,,,9.8,,7/15/1983,,"lake trout, slimy sculpin, broad whitefish",Yes,,,,,,
Region III,North Slope Drainages,C-121,-153.24881,70.23086,,,,8.2,,7/16/1983,,"lake trout, burbot",Yes,,,,,,
Region III,North Slope Drainages,C-122,-153.09023,70.23066,,,,9.8,,7/16/1983,,lake trout,Yes,,,,,,
Region III,North Slope Drainages,C-124,-153.67659,70.36086,,,,11.3,,7/17/1983,,lake trout,No,,,,,,
Region III,North Slope Drainages,C-125,-153.60392,70.07222,,,,12.8,,7/19/1983,,"lake trout, burbot, broad whitefish, round whitefish",Yes,,,,,,
Region III,North Slope Drainages,C-126,-153.50784,69.84480,,,,21.3,,7/19/1983,,"lake trout, burbot",Yes,,,,,,
Region III,North Slope Drainages,C-40,-153.92261,70.15961,,,,5.5,,7/20/1981,,"lake trout, broad whitefish, least cisco, round whitefish",No,,,,,,
Region III,North Slope Drainages,C-41,-153.64484,70.20267,,,,6.7,,7/20/1981,,"lake trout, least cisco",No,,,,,,
Region III,North Slope Drainages,C-50,-153.49786,70.05767,,,,13.7,,7/20/1981,,"lake trout, broad whitefish",No,,,,,,
Region III,North Slope Drainages,C-52,-153.23756,69.95683,,,,15.2,,7/18/1981,,"lake trout, burbot, slimy sculpin, broad whitefish, least cisco, round whitefish",No,,,,,,
Region III,North Slope Drainages,C-57,-153.00319,70.28323,,,,11.3,,7/20/1981,,"lake trout, least cisco",No,,,,,,
Region III,North Slope Drainages,C-58,-152.94069,70.30934,,,,3.0,,7/21/1981,,"lake trout, broad whitefish",No,,,,,,
Region III,North Slope Drainages,C-59,-153.05958,70.30740,,,,13.4,,7/21/1981,,"lake trout, broad whitefish, least cisco, round whitefish",No,,,,,,
Region III,North Slope Drainages,Campsite Lake,-149.18101,68.59677,,,,30.5,,7/15/1979,,"Arctic char, lake trout, slimy sculpin",No,,,,,,
Region III,Kuskokwim-Goodnews Drainages,Canyon Lake,-161.17309,59.43057,,,,45.7,,7/14/1975,,"Arctic char, lake trout, sockeye salmon, round whitefish",Yes,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Caribou Pass Lake (into Jack River),,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,Cascade Lake,-154.59633,68.37631,,,,36.6,,7/25/1977,,"Arctic char, lake trout, slimy sculpin",Yes,,,,,,
Region III,Yukon River Drainage,Chandalar Lake,-148.52333,67.50427,2320.47,,,35.0,,7/31/1975,,"lake trout, burbot, Arctic grayling, Pacific salmon-unspecified, broad whitefish, humpback whitefish, round whitefish",Yes,,,,,,yes
Region III,Yukon River Drainage,Chandalar River North Fork,,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,Chandler Lake,-152.71060,68.22725,1311.5,,,22.0,22.34,10/25/2020,,"Arctic char, lake trout, Arctic grayling, slimy sculpin, round whitefish",Yes,536,2202,1107,295,yes,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Chelle Lake,-144.87067,62.19199,14.16,,,10.4,,9/14/1965,,"lake trout, Arctic grayling",No,566.25,,4,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Chelle Lake (Chaleau Lake or Hot Dog Lake),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Cheryl Lake,-146.22078,62.53713,12.67,,,11.6,,1/1/1988,,"lake trout, humpback whitefish, round whitefish",No,,,,,,
Region III,Delta (Upper Tanana River Drainage),Chet Lake,-145.837341,63.830588,4,,,10.5,0.90,8/24/2005,"Arctic char, Arctic grayling, lake trout, rainbow trout","Arctic grayling, longnose sucker, slimy sculpin",Yes,335.5,,16,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Cindy Lake,-146.19902,62.51483,8.58,,,14.3,,1/1/1987,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region II,Mat-Su (Susitna River Drainage),Clarence Lake,-147.82389,62.67556,121,,,10.7,,7/24/1964,,"lake trout, Arctic grayling, round whitefish",Yes,454.1111111,,9,,,
Region III,Delta (Upper Tanana River Drainage),Coal Mine 5,-145.823419,63.717789,4,,,8.2,0.85,3/15/2011,"Arctic char, Chinook salmon, coho salmon, lake trout, rainbow trout",slimy sculpin,Yes,253.8787879,,99,,,yes
Region III,Delta (Upper Tanana River Drainage),Coal Mine Road lakes (Richardson Highway),,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,Colville River,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Copper Lake,-143.55234,62.42391,750.3,"343,970,683",45.84,71.6,23.09,6/24/2010,,"Dolly Varden, lake trout, burbot, Arctic grayling, Chinook salmon, coho salmon, sockeye salmon, whitefish-unspecified, kokanee salmon",Yes,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Copper River,,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Craig Lake,-144.71049,63.73103,8.41,,,23.4,1.55,7/8/2008,"lake trout, Arctic grayling, coho salmon, rainbow trout, sheefish","lake chub, slimy sculpin",Yes,318.8571429,,7,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Crater Lake (Dickey),-146.08777,62.94311,16.19,,,10.7,,8/30/1961,"coho salmon, rainbow trout",lake trout,No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Crazy Lake,-146.49436,62.49188,126.87,,,11.0,,7/16/1991,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, whitefish-unspecified, round whitefish",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Crosswind Lake,-146.02538,62.35472,3716.55,"591,141,048",15.9,36.6,41.66,1/1/1988,sockeye salmon,"lake trout, burbot, Arctic grayling, longnose sucker, whitefish-unspecified, lake whitefish, round whitefish",Yes,596,,34,,,yes
Region III,Delta (Upper Tanana River Drainage),Crystal Lake #1,-145.63912,63.15976,,,,,,3/15/2011,"lake trout, rainbow trout","lake trout, Alaska blackfish, Arctic grayling",No,369,,10,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Curtis Lake,-146.98918,62.30448,84.98,,,9.1,,6/26/1970,,"lake trout, longnose sucker, whitefish-unspecified",No,,,,,,
Region III,Yukon River Drainage,Dalton Highway lakes,,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,Dalton Highway other lakes,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),David Lake (near Y Lk),-146.22034,62.51359,3.16,,,4.3,,1/1/1987,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region II,Mat-Su (Susitna River Drainage),Deadman Lake (Healy),-148.25236,63.00926,153.78,,,21.3,,6/30/1977,,"lake trout, Arctic grayling, slimy sculpin, whitefish-unspecified",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Dee Lake,-146.31257,62.49809,15.18,,,8.8,,1/1/1988,,"lake trout, longnose sucker, humpback whitefish",No,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Deep Lake,-146.01886,62.48144,303.51,,,10.7,,6/26/1967,,"lake trout, burbot, whitefish-unspecified",Yes,,,,,,
Region III,Delta (Upper Tanana River Drainage),Delta River (below Tangle Lakes),,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Denali Highway streams and lakes,,,,,,,,,,,,,,,,,yes
Region III,Northwest Drainages,Desperation Lake,-158.75103,68.33053,880.19,,,4.6,,7/1/1977,,"lake trout, round whitefish",No,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Dickey Lake,-146.11224,62.93348,305.54,,,,,8/23/1976,,"lake trout, Arctic grayling, sockeye salmon, whitefish-unspecified",Yes,565.9782609,,46,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Dog Lake (near Lk Louise),-146.52459,62.37635,339.94,,,3.0,,7/19/1969,,"lake trout, burbot, longnose sucker, whitefish-unspecified, least cisco, round whitefish",Yes,483,,5,,,yes
Region III,Delta (Upper Tanana River Drainage),Ellis Lake,-142.96236,62.26928,101.17,,,29.0,,7/22/1982,,"lake trout, Arctic grayling",No,308.1641791,324.6875,67,16,,
Region III,North Slope Drainages,Elusive Lake,-148.49654,68.65305,372.31,,,169.2,,7/28/1973,,"lake trout, Arctic grayling, least cisco, round whitefish",No,,,,,,yes
Region III,North Slope Drainages,Etivluk Lake,-156.07565,68.12489,348.03,,,13.7,,8/10/1977,,"lake trout, Arctic grayling, slimy sculpin, round whitefish",No,,,,,,
Region III,Northwest Drainages,Feniak Lake,-158.31942,68.24783,1729.38,,,37.3,,6/1/2006,,"lake trout, Arctic grayling, round whitefish",Yes,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Fielding Lake,-145.68664,63.17169,561.96,"49,042,840",8.7,23.1,20.31,8/19/2013,,"lake trout, burbot, Arctic grayling, longnose sucker, whitefish-unspecified",Yes,575.0325581,2275.628859,1290,622,yes,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Final Lake,-146.11011,62.55913,46.3,,,19.2,,1/1/1988,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish",No,,,,,,
Region III,North Slope Drainages,Fish Lake (Chandler),-152.76960,68.17411,40.47,,,16.8,,1/1/1964,,"Arctic char, lake trout, Arctic grayling, round whitefish",Yes,,,,,,
Region III,Delta (Upper Tanana River Drainage),Fish Lake (Mt Hayes),-146.00713,63.23309,208.6,"23,998,435",11.50,32.0,16.10,6/27/2019,,"Dolly Varden, lake trout, Arctic grayling, slimy sculpin",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Flat Lake,-146.32220,62.50028,18.66,,,14.3,,1/1/1988,,"lake trout, Arctic grayling, humpback whitefish, round whitefish",No,,,,,,
Region III,Delta (Upper Tanana River Drainage),Fourteen Mile Lake,-145.805938,63.071954,39,,,15.7,3.18,6/15/2017,"lake trout, rainbow trout",slimy sculpin,Yes,186.0547945,,146,,,yes
Region III,North Slope Drainages,Galbraith Lake,-149.42011,68.46224,413.56,,,6.9,18.62,7/2/1975,,"lake trout, burbot, round whitefish",No,566.809816,3931.034483,163,29,,yes
Region III,Delta (Upper Tanana River Drainage),George Creek,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Ghost Lake,-146.30143,62.52131,21.12,,,7.0,0.54,1/1/1988,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,Delta (Upper Tanana River Drainage),Glacier Gap Lake (Denali Hwy),-146.26005,63.11834,179.3,"13,477,806",7.52,26.0,7.60,9/17/2020,,"lake trout, burbot, Arctic grayling, whitefish-unspecified, round whitefish",Yes,373.3304029,660.7066327,1365,392,,yes
Region III,Fairbanks (Lower Tanana River Drainage),Goldstream Creek,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Goodnews Lake,-160.55160,59.49199,,,,36.6,,7/1/1975,,"Arctic char, lake trout, Alaska blackfish, threespine stickleback, sockeye salmon, rainbow trout, slimy sculpin, round whitefish",Yes,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Goodnews River,,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Graphite Lake,-143.43689,67.06323,,,,,,1/1/1990,,"lake trout, Arctic grayling, northern pike, whitefish-unspecified",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Grayling Lake (Glennallen),-146.87165,62.30646,101.17,,,9.1,,6/25/1970,,"lake trout, longnose sucker, whitefish-unspecified",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Grizzly Lake (Tok Cut-off),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Gulkana River (above Paxson),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),"Gulkana River (above Paxson, West Fork, Middle Fork)",,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Gulkana River (Paxson to ADFG Tower),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Gulkana River (Paxson to Sourdough),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Gulkana River (Paxson to West Fork),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Gulkana River (Sourdough to Highway),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Gulkana River mainstem (reach unspecified),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Gulkana River Middle Fork,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Gunn Creek,,,,,,,,,,,,,,,,,yes
