Available Data and Morphometry,,,,,,,,,,,,,,,,,,,,,,
Region III,Yukon River Drainage,Iniakuk Lake,-153.226350000,67.134840,216,-6.00,1298.79,"393,497,568",30.30,65.2,21.78,,"lake trout, burbot, Arctic grayling, ninespine stickleback, northern pike, Chinook salmon, slimy sculpin, humpback whitefish, round whitefish",Yes,4,467,,,,Yes,No,No
Region III,North Slope Drainages,Inyorurak Pass Lake,-156.420640000,68.202850,606,-9.00,46.13,,,6.7,,,"lake trout, Arctic grayling, slimy sculpin, least cisco",No,,,,,,,No,No
Region III,North Slope Drainages,Irgnyivik Lake,-151.261670000,68.431070,667,-9.00,73.14,,,16.8,4.68,,"lake trout, Arctic grayling, round whitefish",No,,,,,Yes,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Island Lake (Glennallen),-146.289713000,62.530167,811,-3.00,32.86,,,6.4,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,Island Lake (Philip Smith Mts),-149.480021000,68.524323,882,-8.00,64.598441,"3,425,363",5.30254686,14.6,4.11,,"lake trout, burbot",Yes,3,618,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),"Island Lake (Richardson Highway, S of Donnelly Dome)",-145.824742000,63.740743,717,-1.00,,,,5.5,,"Arctic grayling, sheefish",,No,,,,,,Yes,No,No
Region III,North Slope Drainages,Itkillik lake,-149.921580000,68.401730,672,-9.00,438.73,"21,619,654",4.93,13.7,11.40,,"lake trout, Arctic grayling, slimy sculpin, round whitefish",Yes,849,427,10,572,Yes,Yes,Yes,Yes
Region III,Delta (Upper Tanana River Drainage),J Lake (Meadows Road),-145.835819000,63.833453,588,-1.00,6.80,,,15.1,1.57,"Arctic char, Arctic grayling, coho salmon, rainbow trout","Arctic grayling, longnose sucker, rainbow trout, slimy sculpin",Yes,,,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Jack Lake (Nabesna),-143.280019000,62.515365,932,-5.00,158.55,"21,479,142",13.55,28.5,9.36,"Arctic grayling, rainbow trout","lake trout, burbot, Arctic grayling, whitefish-unspecified",Yes,,,,,,Yes,No,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Janelle Lake,-146.189299000,62.534355,826,-3.00,26.43,,,12.5,,,"lake trout, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Jatahmund Lake,-142.029020000,62.621850,663,-3.00,1128.84,,,23.8,26.54,rainbow trout,"lake trout, burbot, northern pike",No,117,491,8,594,,Yes,Yes,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Joanne Lake,-146.283705000,62.507080,813,-3.00,32.05,,,10.7,,,"lake trout, burbot, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Joy Lake,-146.215580000,62.519781,823,-3.00,7.65,,,15.2,,,"lake trout, Arctic grayling, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Julie Lake,-146.354852000,62.177462,837,-3.00,16.59,,,7.3,,,"lake trout, burbot, Arctic grayling, longnose sucker, humpback whitefish, whitefish-unspecified, round whitefish",Yes,1,560,,,,,No,No
Region II,Kenai (Upper Kenai Peninsula),Juneau Lake (Cooper Landing),-149.876394000,60.576250,386,1.00,56.66,,,13.7,,,"Dolly Varden, lake trout, burbot, Arctic grayling, rainbow trout, whitefish-unspecified, round whitefish",Yes,12,481,3,1862,,,Yes,No
Region III,Kuskokwim-Goodnews Drainages,Kagati Lake,-160.066410000,59.874770,320,-1.00,915.39,,,35.7,23.96,,"Arctic char, lake trout, burbot, Arctic grayling, sockeye salmon, round whitefish",Yes,743,487,726,1478,,Yes,No,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Kaina Lake,-146.201436000,61.837649,822,-3.00,210.44,,,15.8,,,"lake trout, burbot, Arctic grayling, longnose sucker, Chinook salmon, sockeye salmon, slimy sculpin, whitefish-unspecified",Yes,,,,,,Yes,No,No
Region III,Kuskokwim-Goodnews Drainages,Kanuktik Lake,-160.307030000,59.712500,344,-1.00,,,,30.5,,,"Arctic char, lake trout, Chinook salmon, slimy sculpin, round whitefish",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Kelly Lake,-146.996032000,62.161062,856,-4.00,36.42,,,0.0,,,"Arctic grayling, whitefish-unspecified",No,,,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Kenna Lake,-145.547918000,63.709104,914,-1.00,5.92,,,12.2,1.38,"lake trout, rainbow trout",,Yes,2,370,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Kettle Lake,-143.416144000,62.563693,973,-5.00,,,,,,"Arctic grayling, coho salmon, lake trout, rainbow trout","burbot, longnose sucker, slimy sculpin",No,9,322,,,,,No,No
Region III,Northwest Drainages,Kiingyak Lake,-156.971100000,68.207080,490,-8.00,165.11,,,2.7,,,"lake trout, Arctic grayling, threespine stickleback, least cisco, round whitefish",Yes,,,,,,,No,No
Region III,Northwest Drainages,Kikitaliorak Lake,-156.240300000,68.124290,639,-9.00,85.39,,,4.6,,,"lake trout, Arctic grayling, slimy sculpin, least cisco, round whitefish",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Kimball Pass streams,,,,,,,,,,,,,,,,,,Yes,No,No
Region III,Kuskokwim-Goodnews Drainages,Kisaralik Lake,-159.353290000,60.322160,477,-2.00,1362.45,"306,311,823",22.48,57.4,27.58,,"Arctic char, lake trout, Arctic grayling",Yes,,,,,,Yes,No,Yes
Region III,Kuskokwim-Goodnews Drainages,Kisaralik Lake II,-159.466140000,60.215650,485,-1.00,420.06,,,58.5,,,"Arctic char, lake trout, Arctic grayling",No,,,,,,,No,No
Region III,Kuskokwim-Goodnews Drainages,Klak Lake,-160.457620000,59.725110,324,-1.00,,,,,,,"Arctic char, lake trout, Chinook salmon, coho salmon",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Klutina Lake,-145.733703000,61.747694,526,-2.00,6377.85,,,0.0,,,"Dolly Varden, burbot, sockeye salmon",Yes,,,,,,Yes,No,No
Region III,Kuskokwim-Goodnews Drainages,Kukaktlim Lake,-160.477150000,59.343590,146,0.00,,,,2.1,,,"Arctic char, lake trout, sockeye salmon, round whitefish",Yes,,,,,,,No,No
Region III,North Slope Drainages,Kuparuk Lake,-149.237230000,68.536570,882,-8.00,24.28,,,10.7,,,"lake trout, Arctic grayling",No,,,,,,,No,No
Region III,North Slope Drainages,Kurupa Lake,-154.644690000,68.359470,912,-8.00,,,,37.5,,,"Arctic char, lake trout, round whitefish",Yes,,,,,,Yes,No,No
Region III,North Slope Drainages,Lake Betty,-156.507550000,68.476360,415,-9.00,142.04,,,7.6,,,"lake trout, Arctic grayling, broad whitefish",No,,,,,,Yes,No,No
Region III,Northwest Drainages,Lake Isiak,-156.148320000,67.721490,510,-8.00,187.37,,,9.4,,,"lake trout, northern pike, least cisco, round whitefish",Yes,,,,,,,No,No
Region III,Northwest Drainages,Lake Kipmik,-156.141520000,67.955160,736,-8.00,836.08,,,12.5,,,"lake trout, Arctic grayling, round whitefish",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lake Louise,-146.552080000,62.324470,720,-3.00,5913.07,"780,230,549",13.20,51.0,65.16,,"lake trout, burbot, Arctic grayling, longnose sucker, humpback whitefish, whitefish-unspecified, round whitefish",Yes,6735,517,,,Yes,Yes,Yes,Yes
Region III,Northwest Drainages,Lake Matcharak,-156.208720000,67.747200,494,-8.00,664.09,,,17.1,,,"lake trout, least cisco, round whitefish",Yes,,,,,,Yes,No,No
Region III,North Slope Drainages,Lake Peters,-145.047380000,69.322914,852,-9.00,,,,,,,"Arctic char, lake trout, Arctic grayling, whitefish-unspecified",Yes,,,,,,Yes,No,No
Region III,North Slope Drainages,Lake Selby,-155.676700000,66.873030,154,-6.00,1902.02,,,45.7,,,"lake trout, Arctic grayling, northern pike, slimy sculpin, round whitefish",Yes,,,,,,Yes,No,No
Region III,North Slope Drainages,Lake Udrivik,-153.992410000,68.505100,496,-9.00,,,,9.1,,,"lake trout, northern pike, least cisco",Yes,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Landlocked Tangle Lake,-146.054180000,62.998230,868,-3.00,218.53,,,27.4,,,"lake trout, Arctic grayling, round whitefish",Yes,789,363,123,508,Yes,,Yes,Yes
Region III,Delta (Upper Tanana River Drainage),Landmark Gap Lake,-146.084860000,63.129740,980,-4.00,304.189,"77,290,334",25.41,51.0,13.81,,"lake trout, Arctic grayling, whitefish-unspecified",Yes,41,384,6,2758,,Yes,No,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Laura Lake,-146.247032000,62.490972,827,-3.00,43.75,,,6.4,,,"lake trout, burbot, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lee's Lake,-146.393586000,62.086376,753,-3.00,30.35,,,13.7,,,"lake trout, Arctic grayling, longnose sucker, whitefish-unspecified",No,1,690,,,,,No,No
Region III,North Slope Drainages,Little Chandler Lake,-152.675540000,68.276870,871,-8.00,331.85,,,18.3,16.14,,"Arctic char, lake trout, Arctic grayling, round whitefish",Yes,195,543,35,1523,Yes,,Yes,"Yes, combine with Chandler Lake"
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Little Dog Lake,-145.962092000,62.439473,641,-3.00,153.78,,,4.3,,,"lake trout, burbot, Arctic grayling, longnose sucker, whitefish-unspecified",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Little Lake Louise,-146.655799000,62.302313,725,-4.00,506.32,"65,449,915",12.93,32.9,16.62,,"lake trout, longnose sucker, whitefish-unspecified",Yes,1,585,,,,,No,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Little Swede Lake,-145.89327,63.01724,885,-3.00,30.66,,,,2.21,,lake trout,,,,,,,Yes,No,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Long Lake (McCarthy Rd),-143.298866000,61.381215,430,-2.00,,,,,,,"Dolly Varden, lake trout, Arctic grayling, longnose sucker, coho salmon, sockeye salmon, slimy sculpin, kokanee salmon",Yes,2,675,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Long Lake (Nabesna Road near Slana),-143.404309000,62.555657,959,-5.00,16.19,,,3.7,,,"burbot, Arctic grayling",No,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lost Bob Lake,-146.233140000,62.525555,822,-3.00,9.51,,,8.8,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lost Haller Lake,-146.167839000,62.537434,824,-2.00,11.17,,,9.1,,,"lake trout, Arctic grayling, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Fairbanks (Lower Tanana River Drainage),Lost Lake  (Chisholm Lake) (near Birch Lake),-146.678552000,64.300827,247,-2.00,42.21,,,11.9,,"Arctic char, lake trout, Arctic grayling, Chinook salmon, coho salmon, steelhead, rainbow trout, sheefish","lake chub, longnose sucker, northern pike",Yes,9,218,,,,Yes,No,No
Region III,North Slope Drainages,Lower Anayak Lake,-151.484260000,68.526380,761,-8.00,,,,6.7,,,"lake trout, Arctic grayling, round whitefish",No,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Lower Tangle Lake,-145.960748000,63.135331,847,-3.00,137.42,"7,652,592",5.57,27.7,14.58,,lake trout,Yes,543,505,218,2037,Yes,Yes - all lakes combined,Yes,Yes
Region II,Kenai (Upper Kenai Peninsula),Lower Trail Lake,-149.366731000,60.443108,142,3.00,111.29,,7.60,12.8,,,"Dolly Varden, lake trout, rainbow trout, round whitefish",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lower Twelve Mile Lake,-145.867808000,62.779600,819,-3.00,40.47,,,6.1,,,"lake trout, Arctic grayling, longnose sucker, whitefish-unspecified",No,1,762,,,,,No,No
Region III,North Slope Drainages,Lupine Lake (North Slope),-148.262860000,68.826210,518,-9.00,121.41,,,10.1,,,"lake trout, Arctic grayling, threespine stickleback, round whitefish",Yes,,,,,,,No,No
Region III,North Slope Drainages,M-72,-149.177080000,68.576600,893,-8.00,8.09,,,9.1,,,lake trout,Yes,,,,,,,No,No
Region III,North Slope Drainages,M-73,-149.150400000,68.609680,866,-8.00,16.19,,,9.1,,,"Arctic char, lake trout",Yes,,,,,,,No,No
Region III,North Slope Drainages,M-74,-149.150960000,68.622390,861,-8.00,24.28,,,9.1,,,lake trout,Yes,,,,,,,No,No
Region III,North Slope Drainages,M-77,-149.160280000,68.616140,864,-8.00,8.09,,,9.1,,,"Arctic char, lake trout",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Mankomen Lake,-144.536140000,63.000450,916,-3.00,480.61,,,24.4,14.06,,"Dolly Varden, lake trout, Arctic grayling, slimy sculpin, whitefish-unspecified, round whitefish",Yes,,,,,,Yes,No,Yes
Region III,Yukon River Drainage,Medicine Lake,-144.521910000,65.498330,223,-6.00,388.50,,,1.8,,,"northern pike, broad whitefish",No,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Michigan Lake,-146.217092000,62.584750,810,-2.00,113.31,,,8.2,,,"lake trout, Arctic grayling, whitefish-unspecified",Yes,1,460,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Middle Hanagita Lake,-143.538425000,61.193470,827,-2.00,36.42,,,5.5,,,"lake trout, Arctic grayling, whitefish-unspecified",No,,,,,,,No,No
Region III,Northwest Drainages,Minakokosa Lake,-155.023880000,66.927590,138,-6.00,242.81,,,41.1,,,"lake trout, humpback whitefish",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Minnesota Lake,-146.162695000,62.576371,814,-2.00,329.41,,,17.1,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, whitefish-unspecified, round whitefish",Yes,1,735,,,,Yes,No,No
Region III,Fairbanks (Lower Tanana River Drainage),Mirror Lake (Broad Pass),-149.103070000,63.334870,702,-3.00,32.37,,,9.4,,,"lake trout, burbot, Arctic grayling, slimy sculpin, humpback whitefish, round whitefish",No,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Monsoon Lake,-146.625306000,62.827036,913,-2.00,49.78,,,,,Chinook salmon,"lake trout, burbot, Arctic grayling, whitefish-unspecified",Yes,,,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Monte Lake,-144.084327000,63.503589,528,-4.00,60,,,32.8,3.67,rainbow trout,"lake trout, rainbow trout, slimy sculpin",Yes,27,391,27,830,,,Yes,No
Region III,Fairbanks (Lower Tanana River Drainage),Moose Lake (Eielson AFB),-147.070951000,64.682600,161,-2.00,14.07,,,18.3,2.28,"Arctic char, lake trout, Arctic grayling, coho salmon, rainbow trout",northern pike,Yes,,,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Nabesna Twin 2 Lake,-143.274200000,62.526680,941,-5.00,7.51,,,8.4,,Arctic grayling,"lake trout, burbot, Arctic grayling",Yes,1,564,,,,Yes,No,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Nancy Lake,-146.282184000,62.515064,812,-3.00,6.52,,,13.4,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,Nanushuk Lake,-150.587670000,68.395880,823,-8.00,80.94,,,18.3,3.27,,"lake trout, Arctic grayling, round whitefish",Yes,,,,,Yes,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Nathan Lake,-146.241363000,62.513236,825,-3.00,24.4,,,11.0,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,Natvakruak Lake,-151.709680000,68.364110,746,-9.00,,,,18.3,,,"lake trout, slimy sculpin, round whitefish",Yes,,,,,,,No,No
Region III,Bristol Bay,Nayakuk Lake,-158.672507,59.95938,93,,,,,,,,lake trout,No,148,490,148,1390,,,Yes,No
Region III,Delta (Upper Tanana River Drainage),Nickel Lake,-145.834341000,63.828200,602,-1.00,2.7,,,11.0,0.75,"Arctic char, Arctic grayling, lake trout, rainbow trout","Arctic grayling, longnose sucker",Yes,9,282,,,,Yes,No,No
Region III,North Slope Drainages,Nigu Lake,-156.344530000,68.278990,552,-9.00,36.42,,,,,,lake trout,No,,,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),No Mercy Lake,-145.828908000,63.864138,532,-1.00,0.96,,,7.0,0.38,rainbow trout,"lake trout, longnose sucker",Yes,23,309,,,,,No,No
Region III,North Slope Drainages,North Itgaknit Lake,-149.663090000,68.700180,656,-9.00,,,,18.3,,,"lake trout, Arctic grayling",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),North Lake,-146.007773000,62.509760,674,-3.00,64.75,,,14.3,,,"lake trout, longnose sucker, whitefish-unspecified",No,,,,,,,No,No
Region III,Kuskokwim-Goodnews Drainages,North Lime Lake,-155.347760000,61.435140,218,-2.00,777.00,,,4.6,,,"Arctic grayling, northern pike, slimy sculpin",No,,,,,,Yes,No,No
Region III,Kuskokwim-Goodnews Drainages,North Middle Fork Lake of Goodnews River,-160.579930000,59.414690,187,0.00,,,,,,,"Arctic char, lake trout, sockeye salmon, round whitefish",Yes,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),North Twin Lake (Meadows Road),-145.839647000,63.864305,516,-2.00,6.40,,,13.4,1.33,"lake trout, Chinook salmon, coho salmon, rainbow trout","Arctic char, Arctic grayling, slimy sculpin",Yes,9,372,,,,Yes,No,No
Region III,Northwest Drainages,Nutuvuki Lake,-154.713430000,66.984260,194,-6.00,1535.48,"329,600,991",21.47,52.6,23.90,,"lake trout, burbot, stickleback-unspecified, northern pike, humpback whitefish",Yes,3,522,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Octopus Lake,-146.289182000,62.523643,811,-3.00,31.44,,,8.8,,,"lake trout, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Octopus Lake (Denali Hwy),-145.714596000,63.061266,974,-4.00,8.09,,,18.6,,,"lake trout, Arctic grayling, whitefish-unspecified",Yes,5,626,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Ohio Lake,-146.237290000,62.577015,810,-3.00,68.8,,,7.6,,,"lake trout, Arctic grayling, longnose sucker, whitefish-unspecified",Yes,,,,,,,No,No
Region III,Kuskokwim-Goodnews Drainages,Ohnlik Lake,-160.264460000,59.737020,350,-1.00,,,,30.5,,,"Arctic char, lake trout, sockeye salmon, round whitefish",No,,,,,,,No,No
Region III,Yukon River Drainage,Old John Lake,-145.046444000,68.079844,683,-8.00,,,,23.8,,,,No,,,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Pauls Pond (Coal Mine Road),-145.829665000,63.706505,826,-1.00,2.22,,,6.7,,"Arctic char, lake trout, Arctic grayling, rainbow trout",slimy sculpin,Yes,2,431,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Paxson Lake,-145.533220000,62.907360,780,-3.00,1569.9,"202,708,713",12.91,29.2,39.80,"lake trout, Chinook salmon","lake trout, burbot, Arctic grayling, sockeye salmon, humpback whitefish, round whitefish",Yes,13632,508,535,1672,Yes,Yes,Yes,Yes
Region III,Kuskokwim-Goodnews Drainages,Pegati Lake,,,,,,,,,,,,,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Petrokov Lake,-146.512800000,63.189000,947,-4.00,,,,6.0,,,"lake trout, burbot, Arctic grayling, slimy sculpin",No,14,398,,,,,Yes,No
Region III,Yukon River Drainage,Ptarmigan Lake,-141.164431000,61.856091,1075,-6.00,259,"14,292,974",5.52,12.2,14.58,,"lake trout, burbot, Arctic grayling, longnose sucker, round whitefish",Yes,79,406,,,,,Yes,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Pup Lake,-145.979351000,62.416330,643,-3.00,117.36,,,3.7,,,"lake trout, burbot, Arctic grayling, longnose sucker, sockeye salmon, whitefish-unspecified",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Raindrop Lake,-144.378872000,62.941907,938,-3.00,14.16,,,,,,lake trout,No,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Rangeview Lake,-145.829242000,63.705764,828,-1.00,2,,,5.2,0.60,"Arctic char, Arctic grayling, lake trout, rainbow trout",slimy sculpin,Yes,1,205,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Rapids Lake (Richardson Highway),-145.858576000,63.503420,709,-2.00,2.25,,,7.8,1.38,"lake trout, coho salmon, rainbow trout",,Yes,51,294,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Roberta Lake,-146.314178000,62.330339,786,-3.00,48.56,,,11.6,,,"lake trout, burbot, Arctic grayling, longnose sucker, whitefish-unspecified",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Rock Lake,,,,,,,,,,,,,,,,,,Yes,No,No
Region III,Yukon River Drainage,Rock Lake,-141.249925000,61.802217,1093,-6.00,1062.67,"371,802,195",34.99,91.5,19.89,,lake trout,Yes,42,406,,,,Yes,Yes,No
Region III,Delta (Upper Tanana River Drainage),Rockhound Lake,-145.825159000,63.863878,532,-1.00,1,,,8.7,0.35,"lake trout, rainbow trout","longnose sucker, slimy sculpin",Yes,37,338,,,,Yes,No,No
